"","date","tradevalMTUM","tradevalQUAL","tradevalVLUE","tradevalSIZE","tradevalUSMV","tradevalSPY"
"115",2014-07-31,9317629.42,1780570.94,25806.69,437723.44,12212392.06,35625339054.28
"116",2014-08-05,1177973.84,649969.47,38097.85,550984.4,9384769.06,29378316484.38
"117",2014-08-06,594927.94,754104.02,74987.58,1209363.48,16512245.84,18221413003.69
"118",2014-08-07,335270.11,1171865.97,43748.97,1060597.12,7227685.99,26015022411.76
"119",2014-08-08,11229372.89,11529087.13,10049130.16,10079612.12,8065867.23,22492040345.38
"120",2014-08-11,558077.07,935678.61,24086.3,739877.05,12127068.32,14470787828.25
"121",2014-08-12,327265.11,601773.02,307338.63,649632.73,11940763.04,14248676385.16
"122",2014-08-13,2303629.43,2565311.84,77477.73,48148.17,5565717.58,13415341069.72
"123",2014-08-14,288362.4,508983.15,242066.39,49566.17,7024205.81,11211899838.18
"124",2014-08-15,693722.52,1630055.63,478090.51,12506.83,10280696.65,27356602312.56
"125",2014-08-18,1341435.57,2953461.71,672644.02,563581.43,12090052.02,14874421593.09
"126",2014-08-19,1108831.8,1532224.83,594836.03,83074.71,16478773.9,11719958359.48
"127",2014-08-20,527100.9,1397963.82,42308.34,126781.96,16555132.93,14454237222.24
"128",2014-08-21,617864.69,1059149.31,32558.47,24068.2,20102184.88,13518777030.62
"129",2014-08-22,488387.99,817383.12,104083.3,700248.47,5572570.26,15165550015.29
"130",2014-08-25,1189508.68,547057.32,901461.71,252668.49,6166294.25,12781876483.76
"131",2014-08-26,1433435.64,762904.49,59510.54,30766.01,7138582.99,9483689179.6
"132",2014-08-29,1014575.03,424462.75,25908.21,291228.14,13762362.71,13210867768.71
"133",2014-09-02,1620857.45,3683209.9,123021.54,4637741.22,24375208.39,14519395286.31
"134",2014-09-04,453737.34,1281419,131048.11,243641.16,9009524.91,17107022013.32
"135",2014-09-05,415644.34,639615.73,212442.18,248789.82,6721987,20478429525.47
"136",2014-09-09,1060705.99,403220.81,42111.4,909326.83,7370173.86,17695675952.4
"137",2014-09-12,1550512.83,31271644.9,72771067.82,166251.68,61999438.4,23408481863.19
"138",2014-09-15,9359724.41,4885725.21,216767.91,238304.51,39176278.01,15192223616.55
"139",2014-09-16,5053651.31,1262759.82,24486.2,330774.42,9855172.15,23240307545.81
"140",2014-09-18,3731804.47,32874385.74,75935551.55,207674.45,6019418.89,19149917572.96
"141",2014-09-22,6176598.93,563716.2,52858.82,64310.48,13587435.33,25022895560.92
"142",2014-09-23,2786074.92,1106458.48,71651.89,125502.1,10842059.18,22121077565.3
"143",2014-09-24,2690949.42,967791.44,26933.52,90787.6,7534688.44,21320581469.48
"144",2014-09-25,4919505.79,3358744.9,1120403.28,98062.7,11890777.48,29627382149.7
"145",2014-09-30,1714933.58,687938.74,66912.32,6814.29,23322600.88,25913065670.61
"146",2014-10-01,9179780.25,13808383.75,11425465.85,109766.87,35081710.75,34688148274.18
"147",2014-10-02,2970307.45,4742269.06,63205.44,13988.6,36331479.67,30503768031.2
"148",2014-10-03,2036638.41,1243849.08,34524.97,190631.61,18122493.33,23862653917.9
"149",2014-10-06,8342268.2,954723.57,6783397.86,6698454.72,14112446.14,20594673888.09
"150",2014-10-07,3318651.62,7386025.27,136157.8,15534.64,22371079.87,28777689114.03
"151",2014-10-08,1807340.71,2252974.56,226931.07,58309.15,27581608.45,36285110297.93
"152",2014-10-09,5338518.13,12939810.25,2675735.67,2606110.05,34374761.25,40892539476.34
"153",2014-10-10,1296128.38,5852763.95,101772075.11,134074.31,32939477.22,42626273281.18
"154",2014-10-14,4269814.71,4094636.07,220133.18,234668.84,38088469.25,40658252237.99
"155",2014-10-15,5528953.25,5426237.78,1720197.47,1387320.68,37242249.8,70332962420.74
"156",2014-10-16,1599175.17,1943179.71,753725.67,151362.96,37790372.62,50209843895.21
"157",2014-10-20,785143.14,1922796.36,97823.93,98268.22,13771599.7,24635819681.25
"158",2014-10-22,13138526.78,10824816.84,10477395.17,11184460.96,22847518.99,29421767727.53
"159",2014-10-23,940609.95,1233752.01,51094.3,769745.51,25926869.87,30244801661.94
"160",2014-10-24,856648.57,598640.68,116084.8,339757.82,164227140.54,23080190667.5
"161",2014-10-28,866716.67,3748245.5,22750.26,56149.46,59037783.65,21082235411.97
"162",2014-10-30,5298420.89,5493444.12,5339814.58,3792383.46,18952746.84,22525823019.18
"163",2014-10-31,4520928.96,5180195.11,2199084.95,2277901.13,149024551.01,29578954408.88
"164",2014-11-03,5775320.66,4213416.54,2025526.28,2056560.77,35992921.65,18918285500.9
"165",2014-11-04,1492224.07,1005951.67,81617.03,34933.7,47167723.39,18757016163.08
"166",2014-11-05,1117608.2,4372306.92,189120.11,50385.69,22473165.71,18530092739.89
"167",2014-11-10,612250.34,1435471.54,25228.48,2183646.96,15732903.59,13508059537.71
"168",2014-11-12,929008.58,634602.74,46185.54,132169.88,18952746.84,18373297673.2
"169",2014-11-17,4627529.32,11146293.2,6133764.58,68617.19,10255538.3,16425367826.75
"170",2014-11-19,4377155.43,1299066.85,7600173.51,113707.44,20599255.49,16882064172.41
"171",2014-11-25,1607902.46,13024884.49,753978.17,186698.89,19330268.62,16397243417.05
"172",2014-11-26,1490421.72,2187786.87,846250.94,72246.25,18531470.55,12893157577.85
"173",2014-11-28,1019784.44,508037.98,116465.96,27906.72,10713546.59,12006319384.33
"174",2014-12-01,1958921.21,1922355.81,120637.04,24334.52,24197930.01,21500076607.44
"175",2014-12-02,2408844.94,4037155.38,1090290.71,998296.93,34088997.33,15401395665.67
"176",2014-12-03,1142340.8,6596114.06,46150.74,58558.53,25630432.82,14318720678.9
"177",2014-12-08,4189367.22,8415337.76,139109.49,332355.1,28302602.4,22474749236.54
"178",2014-12-10,1504020.05,1393309.27,760026.77,55461.21,22878815.44,32650055904.8
"179",2014-12-11,2022124.19,1506747.71,212327.67,172833,18708735.02,32612272489.53
"180",2014-12-12,3014761.21,895469.56,11760.82,93021.84,37086216.36,40933112792.33
"181",2014-12-15,1476655.82,2404523.28,606458.17,413118.09,23597831.24,38064706868.61
"182",2014-12-18,1259125.67,1358924.48,294397.34,116036.95,247130185.58,52894893979.38
"183",2014-12-19,3906368.18,1898007.89,45098.43,22714.8,20695850.09,50587244327.07
"184",2014-12-23,2248349.86,1004904.68,32493.59,48671.69,31678577.72,25402225915.92
"185",2014-12-26,2489592.04,1839146.95,5202324.47,3123530.57,8964191.6,11959000387.94
"186",2014-12-29,6894835.94,1149074.72,136606.36,3343053.94,25792159.84,16624481795.45
