"date","changepMTUM","changepMTUM & changepQUAL","changepMTUM & changepVLUE","changepMTUM & changepSIZE","changepMTUM & changepUSMV","changepMTUM & changepSPY","changepQUAL","changepQUAL & changepVLUE","changepQUAL & changepSIZE","changepQUAL & changepUSMV","changepQUAL & changepSPY","changepVLUE","changepVLUE & changepSIZE","changepVLUE & changepUSMV","changepVLUE & changepSPY","changepSIZE","changepSIZE & changepUSMV","changepSIZE & changepSPY","changepUSMV","changepUSMV & changepSPY","changepSPY"
2017-11-02,1.8801619047619e-05,6.79485714285714e-06,1.1037e-05,5.73164285714286e-06,6.78628571428571e-06,1.21882619047619e-05,5.39457142857143e-06,6.169e-06,4.33592857142857e-06,4.50435714285714e-06,6.06478571428571e-06,1.231e-05,5.4945e-06,3.8695e-06,8.631e-06,5.72257142857143e-06,4.29414285714286e-06,5.03871428571429e-06,6.45428571428572e-06,5.53092857142857e-06,9.97747619047619e-06
2017-11-03,1.91624761904762e-05,6.82085714285714e-06,1.09894047619048e-05,5.85171428571429e-06,6.79171428571429e-06,1.24684047619048e-05,5.33714285714286e-06,5.93292857142857e-06,4.32028571428571e-06,4.45378571428571e-06,6.06892857142857e-06,1.1403619047619e-05,5.38335714285714e-06,3.66885714285714e-06,8.53111904761905e-06,5.75257142857143e-06,4.27507142857143e-06,5.12535714285714e-06,6.41057142857143e-06,5.52135714285714e-06,1.0190619047619e-05
2017-11-06,1.9017e-05,6.877e-06,1.08325e-05,5.9175e-06,6.988e-06,1.2477e-05,5.31547619047619e-06,5.99364285714286e-06,4.29507142857143e-06,4.37769047619048e-06,6.06566666666667e-06,1.13381428571429e-05,5.56657142857143e-06,3.65885714285714e-06,8.576e-06,5.84428571428571e-06,3.94642857142857e-06,5.16e-06,6.61947619047619e-06,5.43366666666667e-06,1.02023333333333e-05
2017-11-07,1.92741428571429e-05,6.322e-06,1.08489285714286e-05,5.72392857142857e-06,5.50514285714286e-06,1.17655714285714e-05,4.16033333333333e-06,5.29916666666667e-06,3.75566666666667e-06,3.17033333333333e-06,4.87866666666667e-06,1.1154619047619e-05,5.28611904761905e-06,2.32959523809524e-06,7.76804761904762e-06,5.60061904761905e-06,3.26959523809524e-06,4.58804761904762e-06,6.91347619047619e-06,4.4362380952381e-06,9.02061904761905e-06
2017-11-08,1.9482e-05,5.9525e-06,1.05685e-05,5.4855e-06,5.204e-06,1.1603e-05,4.12690476190476e-06,5.09659523809524e-06,3.75542857142857e-06,3.16859523809524e-06,4.75685714285714e-06,1.08209047619048e-05,5.17707142857143e-06,2.19040476190476e-06,7.57014285714286e-06,5.61357142857143e-06,3.28507142857143e-06,4.52214285714286e-06,6.93190476190476e-06,4.35214285714286e-06,8.90328571428571e-06
2017-11-09,2.32244761904762e-05,8.08430952380952e-06,1.19052619047619e-05,6.2742619047619e-06,6.03361904761905e-06,1.32434761904762e-05,5.21947619047619e-06,5.97259523809524e-06,4.36809523809524e-06,3.82245238095238e-06,5.78680952380952e-06,1.1190619047619e-05,5.30511904761905e-06,2.31619047619048e-06,8.0662619047619e-06,5.56061904761905e-06,3.21669047619048e-06,4.73976190476191e-06,6.84590476190476e-06,4.57361904761905e-06,9.54747619047619e-06
2017-11-10,2.33325714285714e-05,8.03042857142857e-06,1.18407142857143e-05,6.07528571428571e-06,5.84214285714286e-06,1.31129285714286e-05,4.62290476190476e-06,5.30311904761905e-06,4.14038095238095e-06,3.44319047619048e-06,5.41257142857143e-06,1.04394761904762e-05,5.05602380952381e-06,1.89626190476191e-06,7.64978571428571e-06,5.75547619047619e-06,3.3202380952381e-06,4.74971428571429e-06,6.82361904761905e-06,4.47035714285714e-06,9.39557142857143e-06
2017-11-13,2.3396e-05,8.0545e-06,1.1852e-05,6.2535e-06,5.9935e-06,1.3137e-05,4.46361904761905e-06,5.3062380952381e-06,4.15016666666667e-06,3.38319047619048e-06,5.32219047619048e-06,1.04414761904762e-05,5.08733333333333e-06,1.92238095238095e-06,7.65338095238095e-06,6.23633333333333e-06,3.70516666666667e-06,4.78316666666667e-06,7.10290476190476e-06,4.45840476190476e-06,9.34590476190476e-06
2017-11-14,2.29044761904762e-05,7.97766666666667e-06,1.14597619047619e-05,6.77288095238095e-06,6.00302380952381e-06,1.31319285714286e-05,4.45433333333333e-06,5.22416666666667e-06,4.19683333333333e-06,3.39383333333333e-06,5.2985e-06,1.0286619047619e-05,5.76480952380952e-06,1.8602380952381e-06,7.82378571428571e-06,6.12490476190476e-06,3.57911904761905e-06,5.07864285714286e-06,7.13347619047619e-06,4.38157142857143e-06,9.53828571428571e-06
2017-11-15,2.39844761904762e-05,9.46178571428571e-06,1.23404047619048e-05,7.27385714285714e-06,7.73188095238095e-06,1.43564523809524e-05,6.44457142857143e-06,6.53864285714286e-06,4.89771428571429e-06,5.71342857142857e-06,6.97507142857143e-06,1.0783619047619e-05,6.14692857142857e-06,3.38902380952381e-06,8.83530952380952e-06,6.35414285714286e-06,4.39528571428571e-06,5.64821428571429e-06,9.83690476190476e-06,6.33476190476191e-06,1.09259047619048e-05
2017-11-16,2.72209047619048e-05,1.23340714285714e-05,1.79293571428571e-05,9.77690476190476e-06,1.01329523809524e-05,1.76268095238095e-05,8.99157142857143e-06,1.14893571428571e-05,7.11957142857143e-06,7.83378571428572e-06,9.87114285714286e-06,2.03932857142857e-05,1.04713571428571e-05,7.48842857142857e-06,1.44547142857143e-05,8.28990476190476e-06,6.25445238095238e-06,8.17880952380952e-06,1.15654761904762e-05,8.72940476190476e-06,1.4211619047619e-05
