date,SPY,EFA,VOO,IVV,TLT,TIP,IVE,XLE,XLI,XLK,XLF
2017-10-02,0.0043,-0.0009,0.0042,0.0040999999999999995,-0.0018,-0.0013,0.0060999999999999995,-0.0003,0.0069,0.0015,0.0085
2017-09-29,0.0034999999999999996,0.0059,0.0036,0.0037,0.0022,-0.0022,0.0021,-0.0001,0.003,0.0068000000000000005,0.004699999999999999
2017-09-28,0.0012,0.0027,0.0012,0.0011,-0.003,-0.0007000000000000001,0.0013,0.0009,-0.0006,0.0012,0.0016
2017-09-27,0.0039000000000000003,0.0007000000000000001,0.0039000000000000003,0.0039000000000000003,-0.0151,-0.0031,0.0021,0.0043,0.0011,0.0102,0.012199999999999999
2017-09-26,0.0006,-0.0022,0.0003,0.0006,-0.0018,-0.0008,-0.0006,-0.0004,0.0,0.0036,-0.0004
2017-09-25,-0.002,-0.005699999999999999,-0.0015,-0.0019,0.0063,0.0028000000000000004,0.0034000000000000002,0.0144,0.0,-0.0118,-0.0012
2017-09-22,0.0002,0.0031,-0.0001,0.0,0.0029,0.0025,0.0003,0.0051,0.0026,0.0005,-0.0012
2017-09-21,-0.0027,-0.002,-0.0028000000000000004,-0.0029,-0.0006,-0.0023,-0.0014000000000000002,0.0003,0.003,-0.0054,0.0024
2017-09-20,0.0004,-0.0022,0.0005,0.0006,0.0007000000000000001,-0.0028000000000000004,0.002,0.0068000000000000005,0.0073,-0.0040999999999999995,0.0059
2017-09-19,0.001,0.004699999999999999,0.0012,0.0009,-0.0025,-0.0011,0.0015,0.0040999999999999995,0.001,0.0044,0.0076
2017-09-18,0.0021,0.0013,0.0017000000000000001,0.0023,-0.0058,-0.0004,0.0036,0.0043,0.005600000000000001,0.0009,0.011699999999999999
2017-09-15,0.0013,0.0009,0.0014000000000000002,0.0013,0.0004,-0.0005,0.0025,0.0024,-0.08539999999999999,0.0040999999999999995,0.003
2017-09-14,-0.0003,0.0018,-0.0003,-0.0004,0.0040999999999999995,0.0016,0.0004,0.0048,0.10310000000000001,-0.0034000000000000002,-0.002
2017-09-13,0.0005,-0.0054,0.0006,0.0004,-0.0039000000000000003,-0.0018,0.0017000000000000001,0.0125,-0.0014000000000000002,-0.0014000000000000002,0.0016
2017-09-12,0.0034000000000000002,0.0031,0.0037,0.0036,-0.0053,-0.0017000000000000001,0.0058,0.0062,0.0048,0.0024,0.0118
2017-09-11,0.010700000000000001,0.0079,0.0109,0.0109,-0.011899999999999999,-0.0038,0.0118,0.0095,0.0086,0.0141,0.0174
2017-09-08,-0.0012,0.0001,-0.0015,-0.0017000000000000001,-0.0022,0.0002,0.0012,-0.0106,0.0034000000000000002,-0.008199999999999999,0.0092
2017-09-07,-0.0001,0.008199999999999999,-0.0002,0.0,0.0102,0.0042,-0.0042,0.0018,0.0021,0.0034000000000000002,-0.0173
2017-09-06,0.0034000000000000002,0.0062,0.0034999999999999996,0.0033,-0.0060999999999999995,-0.0012,0.0038,0.0163,0.001,0.0009,0.0025
2017-09-05,-0.0072,-0.0067,-0.0074,-0.0072,0.0159,0.006500000000000001,-0.009000000000000001,0.0055000000000000005,-0.0101,-0.0088,-0.021400000000000002
2017-09-01,0.0014000000000000002,0.0013,0.0017000000000000001,0.0017000000000000001,-0.0077,-0.0023,0.0040999999999999995,0.0097,0.0009,-0.0008,0.0028000000000000004
2017-08-31,0.006,0.0077,0.0059,0.005699999999999999,0.003,0.0025,0.0036,0.0048,0.0034000000000000002,0.006,0.0012
2017-08-30,0.004699999999999999,-0.0014000000000000002,0.005,0.0048,-0.0003,-0.0003,0.0024,0.0005,0.0040999999999999995,0.0072,0.0040999999999999995
2017-08-29,0.0011,-0.004,0.0008,0.0013,0.0032,0.0016,-0.0011,-0.0013,0.0073,0.0043,-0.0032
2017-08-28,0.0,0.0,0.0004,0.0002,-0.0006,0.0008,-0.0015,-0.0044,-0.0006,0.0019,-0.0064
2017-08-25,0.0023,0.006,0.0022,0.002,0.0039000000000000003,0.0017000000000000001,0.0034000000000000002,0.0045000000000000005,0.0048,-0.0002,0.0028000000000000004
2017-08-24,-0.0023,-0.0023,-0.0023,-0.0019,-0.0037,-0.0025,-0.0024,0.0006,-0.0031,-0.0009,0.0
2017-08-23,-0.0036,0.0002,-0.0034000000000000002,-0.0034000000000000002,0.0068000000000000005,0.0027,-0.0022,0.0043,-0.009399999999999999,-0.0024,-0.0032
2017-08-22,0.0105,0.0048,0.0101,0.009899999999999999,-0.0039000000000000003,-0.0012,0.0079,0.0066,0.011399999999999999,0.0149,0.011000000000000001
2017-08-21,0.0008,-0.0003,0.0012,0.0014000000000000002,0.0024,0.0004,0.0008,-0.0051,0.0016,-0.0004,-0.0028000000000000004
2017-08-18,-0.0016,0.0027,-0.0018,-0.0022,-0.0002,0.0002,-0.0023,0.005,-0.004,-0.0011,0.0004
2017-08-17,-0.015600000000000001,-0.011200000000000002,-0.015600000000000001,-0.015300000000000001,0.0075,0.0025,-0.0148,-0.0141,-0.0173,-0.0196,-0.0172
2017-08-16,0.0017000000000000001,0.005699999999999999,0.0016,0.0018,0.0037,0.0018,0.0009,-0.0096,0.0028000000000000004,0.0029,-0.002
2017-08-15,-0.0001,-0.0008,0.0001,-0.0001,-0.0042,-0.003,-0.0004,-0.0038,-0.0022,0.0016,0.0008
2017-08-14,0.009899999999999999,0.0073,0.0098,0.01,-0.0051,-0.0039000000000000003,0.008199999999999999,-0.003,0.0105,0.0159,0.0137
2017-08-11,0.0015,-0.0018,0.0013,0.001,0.0005,-0.0006,-0.0015,-0.006500000000000001,0.0006,0.0069,-0.004
2017-08-10,-0.0141,-0.014199999999999999,-0.0137,-0.0139,0.0085,0.0025,-0.011899999999999999,-0.0106,-0.0127,-0.0197,-0.0178
2017-08-09,-0.0,-0.0016,-0.0006,-0.0002,0.0055000000000000005,0.0018,-0.0015,0.0009,0.0003,-0.0005,0.0
2017-08-08,-0.0025,-0.0053,-0.002,-0.0022,-0.0036,0.0007000000000000001,-0.002,-0.0023,-0.003,-0.0014000000000000002,-0.0028000000000000004
2017-08-07,0.0019,0.0004,0.0016,0.0018,0.0011,0.0011,-0.0001,-0.0076,0.0,0.0060999999999999995,-0.0016
2017-08-04,0.0018,0.0013,0.0017000000000000001,0.0015,-0.0085,-0.0014000000000000002,0.002,0.0032,0.0019,0.0023,0.0067
2017-08-03,-0.0019,0.0006,-0.0018,-0.0018,0.0103,0.0027,-0.0017000000000000001,-0.013999999999999999,0.005,-0.0023,-0.0036
2017-08-02,0.0005,-0.0019,0.0006,0.0002,0.0006,-0.0013,-0.0003,0.0,0.0,0.0028000000000000004,0.0
2017-08-01,0.0022,0.0079,0.0023,0.0024,0.006999999999999999,0.0017000000000000001,0.0023,-0.0039000000000000003,0.0015,0.0051,0.0088
2017-07-31,-0.0006,0.0021,-0.0006,-0.0004,0.0012,0.0,0.0021,0.0023,-0.0013,-0.0049,0.0072
2017-07-28,-0.0012,0.001,-0.0011,-0.0014000000000000002,0.0059,0.0024,-0.0013,-0.0012,0.0023,-0.001,0.0
2017-07-27,-0.0009,-0.0022,-0.0012,-0.0009,-0.0049,-0.0007000000000000001,0.0019,0.0102,-0.005699999999999999,-0.0038,-0.005600000000000001
2017-07-26,0.0,0.0062,0.0003,0.0003,0.0016,0.0029,-0.0021,0.0011,0.0013,0.0038,-0.0067
2017-07-25,0.0024,0.0014000000000000002,0.0024,0.0023,-0.013000000000000001,-0.0039000000000000003,0.0060999999999999995,0.0126,-0.0013,-0.0019,0.0124
2017-07-24,-0.0002,-0.0027,-0.0004,-0.0002,-0.0039000000000000003,0.0,-0.0012,-0.0018,-0.0022,0.0024,0.0044
2017-07-21,-0.0009,-0.0039000000000000003,-0.0007000000000000001,-0.0008,0.0042,0.0015,-0.0015,-0.009899999999999999,-0.0019,-0.0012,0.0
2017-07-20,0.0004,0.0040999999999999995,0.0003,0.0005,0.0029,-0.0025,0.0004,-0.003,-0.005600000000000001,0.0021,-0.0004
2017-07-19,0.0054,0.0044,0.0053,0.0051,0.0004,0.0008,0.0052,0.0146,0.001,0.0051,0.0004
2017-07-18,0.0005,0.0009,0.0008,0.0008,0.0087,0.0028000000000000004,-0.0023,-0.004699999999999999,-0.0023,0.0046,-0.0016
2017-07-17,-0.0001,-0.002,0.0001,0.0002,0.0028000000000000004,0.002,-0.0007000000000000001,-0.0012,-0.0006,0.0002,-0.0032
2017-07-14,0.004699999999999999,0.006999999999999999,0.0045000000000000005,0.0043,0.0012,-0.0001,0.0027,0.006,0.0043,0.0089,-0.0044
2017-07-13,0.0017000000000000001,0.0029,0.0017000000000000001,0.0015,-0.0063,-0.0004,0.0021,0.004,-0.0007000000000000001,0.002,0.006
2017-07-12,0.0075,0.008,0.0075,0.0075,0.0069,0.0029,0.0049,0.0028000000000000004,0.0055000000000000005,0.013000000000000001,0.0032
2017-07-11,-0.0007000000000000001,0.0023,-0.0008,-0.0005,0.0017000000000000001,0.0032,-0.0016,0.0055000000000000005,-0.0009,0.0022,-0.0088
2017-07-10,0.0011,0.0025,0.001,0.0009,0.0015,-0.0004,-0.0015,0.0033,0.0029,0.0073,-0.0012
2017-07-07,0.006500000000000001,0.0002,0.0063,0.0063,-0.006,-0.0031,0.004,-0.0016,0.0078000000000000005,0.0116,0.0068000000000000005
